Id,age_days,age_months,open_year,open_month,open_day,open_week,city_freq,city_group_Other,type_IL,type_Other,region_Black Sea,region_Central Anatolia,region_Eastern Anatolia,region_Marmara,region_Mediterranean,region_Southeastern Anatolia,latitude,longitude,area_km2,city_center_elevation_m,population,population_density,population_growth_rate,district_count,gdp_try,gdp_per_capita_try,gdp_per_capita_usd,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,all_zero,revenue,log_revenue
0,5647,185,1999,7,17,28,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,1,2,2,2,4,5,4,1,3,3,1,1,1.0,4.0,2.0,3.0,5,3,4,5,5,4,3,4,0,5653753.0,15.547830307268965
1,2513,82,2008,2,14,7,0.1386861313868613,False,False,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,4,5.0,4.0,4.0,1,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,2,1,3,2,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,6923131.0,15.750378826356913
2,663,21,2013,3,9,10,0.021897810218978103,True,True,False,False,False,False,False,False,True,37.9136,40.2172,15168,675,1852356,122,1.02,17,449296588416,245024,7464,2,4.0,2.0,5.0,2,3,5,5,5,5,2,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,2055379.0,14.535971303659679
3,1064,34,2012,2,2,5,0.0072992700729927005,True,True,False,True,False,False,False,False,False,40.3223,36.5582,10042,623,614141,61,0.24,12,162068815198,264527,8058,6,4.5,6.0,6.0,4,4,10,8,10,10,8,10,7.5,6,4,9,3,12,20,12,6,1,10,2,2,2.5,2.5,2.5,7.5,25,12,10,6,18,12,12,6,0,2675511.0,14.799651321866403
4,2063,67,2009,5,9,19,0.0072992700729927005,True,True,False,False,False,False,False,False,True,37.0594,37.3825,6803,842,2222415,327,1.32,9,697936880052,318204,9693,3,4.0,3.0,4.0,2,2,5,5,5,5,2,5,5.0,2,1,2,1,4,2,2,1,2,1,2,3,3.0,5.0,1.0,3.0,5,1,3,2,3,4,3,3,0,4316715.0,15.278005485947833
5,1784,58,2010,2,12,6,0.1386861313868613,False,False,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,6,6.0,4.5,7.5,8,10,10,8,8,8,10,8,6.0,0,0,0,0,0,5,6,3,1,5,0,0,0.0,0.0,7.5,5.0,0,0,0,0,0,0,0,0,1,5017319.0,15.428406484569665
6,1543,50,2010,10,11,41,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,2,3.0,4.0,4.0,1,5,5,5,5,5,2,5,5.0,3,4,4,3,4,2,4,1,2,1,5,4,4.0,5.0,1.0,3.0,4,5,2,2,3,5,4,4,0,5166635.0,15.457732357719879
7,1290,42,2011,6,21,25,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,5.0,2,3,5,4,4,4,4,3,4.0,0,0,0,0,0,3,5,2,4,2,0,0,0.0,0.0,3.0,2.0,0,0,0,0,0,0,0,0,1,4491607.0,15.317721324781436
8,1587,52,2010,8,28,34,0.0072992700729927005,True,True,False,False,False,False,False,False,False,38.75778,30.53861,14016,1021,751808,54,0.22,18,252256897408,336256,10243,1,1.0,4.0,4.0,1,2,1,5,5,5,1,5,5.0,1,1,2,1,4,1,1,1,1,1,4,4,4.0,2.0,2.0,3.0,4,5,5,3,4,5,4,5,0,4952497.0,15.415402653718315
9,1142,37,2011,11,16,46,0.0072992700729927005,True,True,False,False,False,False,True,False,False,41.6769,26.5556,6145,42,422438,69,0.28,9,175772050702,417266,12711,6,4.5,6.0,7.5,6,4,10,10,10,10,2,10,7.5,0,0,0,0,0,25,3,3,1,10,0,0,0.0,0.0,5.0,2.5,0,0,0,0,0,0,0,0,1,5444227.0,15.510066522846385
10,510,16,2013,8,9,32,0.0072992700729927005,True,False,False,False,False,False,True,False,False,40.765278,29.940833,3397,4,2161171,636,1.46,12,1680304223238,788873,24031,9,6.0,6.0,6.0,4,4,10,8,10,10,8,10,7.5,0,0,0,0,0,25,15,15,3,20,0,0,0.0,0.0,10.0,2.5,0,0,0,0,0,0,0,0,1,3745135.0,15.135968489360863
11,954,31,2012,5,22,21,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,2,4.0,4.0,4.0,2,5,5,5,5,5,2,5,5.0,2,2,5,2,4,2,5,1,1,3,5,2,3.0,5.0,3.0,3.0,5,5,4,2,3,4,4,2,0,5161370.0,15.456712799840789
12,672,22,2013,2,28,9,0.1386861313868613,False,True,False,False,True,False,False,False,False,39.9199,32.8543,25632,938,5910320,231,0.79,25,4625907830091,788859,24031,2,2.0,4.0,4.0,2,1,5,4,5,5,3,5,5.0,0,0,0,0,0,3,4,1,2,2,0,0,0.0,0.0,1.0,3.0,0,0,0,0,0,0,0,0,1,1734634.0,14.36630757459148
13,1538,50,2010,10,16,41,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,4,5.0,4.0,4.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,4,1,2,1,0,0,0.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,1,4807746.0,15.385739133180387
14,1099,36,2011,12,29,52,0.0364963503649635,True,False,False,False,False,False,True,False,False,40.1972,29.0622,10813,155,3263011,302,0.75,17,1596237085368,492876,15014,2,2.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,3,2,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,1999097.0,14.508206636793131
15,1059,34,2012,2,7,6,0.36496350364963503,False,True,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,12,7.5,6.0,6.0,2,10,10,10,10,10,4,10,7.5,3,10,15,3,12,10,9,3,2,5,8,8,10.0,2.5,7.5,7.5,5,15,20,2,12,3,16,4,0,3218918.0,14.98455614687022
16,5473,179,2000,1,7,1,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,3,5.0,4.0,4.0,2,5,5,4,5,4,3,5,4.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,1,19696939.0,16.795973851694033
17,1880,61,2009,11,8,45,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,2,4.0,4.0,5.0,1,3,5,4,5,5,3,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,1,8213524.0,15.921292743728163
18,985,32,2012,4,21,16,0.06569343065693431,False,True,False,False,False,False,False,False,False,38.4244,27.1322,11891,2,4504185,376,0.24,30,2499932010992,556376,16949,4,5.0,4.0,3.0,1,2,5,5,5,5,2,5,5.0,3,2,3,2,3,4,5,1,4,2,5,3,3.0,3.0,2.0,3.0,3,5,5,4,4,4,3,2,0,5337526.0,15.490272995054232
19,1234,40,2011,8,16,33,0.029197080291970802,True,True,False,False,False,False,True,False,False,40.783,30.4,4824,31,1123693,233,1.17,16,532515238110,479426,14605,2,4.0,4.0,4.0,2,2,5,5,4,4,1,3,4.0,0,0,0,0,0,2,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,0,0,0,0,0,0,0,1,2021934.0,14.519565531656134
20,1590,52,2010,8,25,34,0.0072992700729927005,True,True,False,False,False,True,False,False,False,38.675,39.222,9383,1067,605678,65,0.29,11,211342509599,349939,10660,3,4.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,3,5,5,4,4,5,5,1,1,5,2,4,1.0,5.0,1.0,3.0,5,1,2,2,4,5,5,4,0,5525735.0,15.524927009165754
21,341,11,2014,1,25,4,0.36496350364963503,False,False,False,False,False,False,True,False,False,41.0136,28.955,5461,39,15754053,2885,0.33,39,12603189175738,802669,24452,5,5.0,4.0,4.0,2,2,5,4,4,4,4,3,4.0,0,0,0,0,0,4,5,1,3,1,0,0,0.0,0.0,3.0,1.0,0,0,0,0,0,0,0,0,1,1149870.0,13.955160320134425
