province_name,province_name_en,plate_code,iso_code,region,nuts1_code,nuts2_code,nuts3_code,latitude,longitude,area_km2,city_center_elevation_m,population,population_male,population_female,population_density,population_growth_rate,median_age,district_count,gdp_try,gdp_per_capita_try,gdp_per_capita_usd,population_year,gdp_year,wikipedia_url,wikipedia_url_en,official_website
Adana,Adana,1,TR-01,Mediterranean,TR6,TR62,TR621,37.00167,35.32889,13844,23,2283609,1141614,1141995,165,0.14,34.2,15,800406554804,350981,10692,2025,2024,https://tr.wikipedia.org/wiki/Adana_(il),https://en.wikipedia.org/wiki/Adana_Province,https://www.adana.gov.tr/
Adıyaman,Adiyaman,2,TR-02,Southeastern Anatolia,TRC,TRC1,TRC12,37.76441,38.27629,7337,669,617821,312881,304940,84,1.11,,9,200120116833,327509,9977,2025,2024,https://tr.wikipedia.org/wiki/Adıyaman_(il),https://en.wikipedia.org/wiki/Adıyaman_Province,https://www.adiyaman.gov.tr/
Afyonkarahisar,Afyonkarahisar,3,TR-03,Aegean,TR3,TR33,TR332,38.75778,30.53861,14016,1021,751808,376802,375006,54,0.22,,18,252256897408,336256,10243,2025,2024,https://tr.wikipedia.org/wiki/Afyonkarahisar_(il),https://en.wikipedia.org/wiki/Afyonkarahisar_Province,https://www.afyonkarahisar.gov.tr/
Ağrı,Agri,4,TR-04,Eastern Anatolia,TRA,TRA2,TRA21,39.71861,43.05083,11099,1640,491489,254223,237266,44,-1.66,,8,97291262660,194660,5930,2025,2024,https://tr.wikipedia.org/wiki/Ağrı_(il),https://en.wikipedia.org/wiki/Ağrı_Province,https://www.agri.gov.tr/
Amasya,Amasya,5,TR-05,Black Sea,TR8,TR83,TR834,40.6524,35.8288,5628,412,342242,172102,170140,61,-0.04,,7,118591522128,346376,10552,2025,2024,https://tr.wikipedia.org/wiki/Amasya_(il),https://en.wikipedia.org/wiki/Amasya_Province,https://www.amasya.gov.tr/
Ankara,Ankara,6,TR-06,Central Anatolia,TR5,TR51,TR510,39.9199,32.8543,25632,938,5910320,2911853,2998467,231,0.79,,25,4625907830091,788859,24031,2025,2024,https://tr.wikipedia.org/wiki/Ankara_(il),https://en.wikipedia.org/wiki/Ankara_Province,https://www.ankara.gov.tr/
Antalya,Antalya,7,TR-07,Mediterranean,TR6,TR61,TR611,36.90812,30.69556,20177,61,2777677,1397014,1380663,138,2.02,36.8,19,1528267565187,561429,17103,2025,2024,https://tr.wikipedia.org/wiki/Antalya_(il),https://en.wikipedia.org/wiki/Antalya_Province,https://www.antalya.gov.tr/
Artvin,Artvin,8,TR-08,Black Sea,TR9,TR90,TR905,41.18333,41.81806,7393,345,167531,83906,83625,23,-1.03,,9,66037482240,390108,11884,2025,2024,https://tr.wikipedia.org/wiki/Artvin_(il),https://en.wikipedia.org/wiki/Artvin_Province,https://www.artvin.gov.tr/
Aydın,Aydin,9,TR-09,Aegean,TR3,TR32,TR321,37.8481,27.8453,8116,56,1172107,580536,591571,144,0.53,40.0,17,451542907211,387277,11798,2025,2024,https://tr.wikipedia.org/wiki/Aydın_(il),https://en.wikipedia.org/wiki/Aydın_Province,https://www.aydin.gov.tr/
Balıkesir,Balikesir,10,TR-10,Marmara,TR2,TR22,TR221,39.6472,27.8881,14583,70,1284517,638871,645646,88,0.66,43.0,20,586639196544,459714,14004,2025,2024,https://tr.wikipedia.org/wiki/Balıkesir_(il),https://en.wikipedia.org/wiki/Balıkesir_Province,https://www.balikesir.gov.tr/
